courier,tracking_number,email,sms,order_id,title,order_path,customer_name,origin_country,destination_country,custom_1,custom_2,tracking_postal_code,tracking_ship_date,tracking_account_number,tracking_key,tracking_destination_country
ups,1ZW2176R0367085908,"aftershiptesting@gmail.com, agsvda@gmail.com","+13438765431, +14567891234",1234,iPhone Case,http://www.yourstore.com/order.php?order_id=1234,Peter Anderson,,USA,custom content,another content,,,,,
dhl,9712871770,,,,,,,,,,,,,,,
usps,EC204778122US,,,,,,,,,,,,,,,
fedex,,,,,,,,,,,,,,,,
ups-mi,,,,,,,,,,,,,,,,
tnt,,,,,,,,,,,,,,,,
dpd,,,,,,,,,,,,,,,,
aramex,,,,,,,,,,,,,,,,
dhl-global-mail,,,,,,,,,,,,,,,,
canada-post,,,,,,,,,,,,,,,,
purolator,,,,,,,,,,,,,,,,
directlink,,,,,,,,,,,,,,,,
ontrac,,,,,,,,,,,,,,,,
lasership,,,,,,,,,,,,,,,,
yrc,,,,,,,,,,,,,,,,
ups-freight,,,,,,,,,,,,,,,,
asendia-usa,,,,,,,,,,,,,,,,
estes,,,,,,,,,,,,,,,,
rl-carriers,,,,,,,,,,,,,,,,
abf,,,,,,,,,,,,,,,,
evergreen,,,,,,,,,,,,,,,,
royal-mail,,,,,,,,,,,,,,,,
parcel-force,,,,,,,,,,,,,,,,
fedex-uk,,,,,,,,,,,,,,,,
dpd-uk,,,,,,,,,,,,,,,,
tnt-uk,,,,,,,,,,,,,,,,
uk-mail,,,,,,,,,,,,,,,,
interlink-express,,,,,,,,,,,,,,,,
yodel,,,,,,,,,,,,,,,,
hermes,,,,,,,,,,,,,,,,
city-link,,,,,,,,,,,,,,,,
deltec-courier,,,,,,,,,,,,,,,,
fastway-ireland,,,,,,,,,,,,,,,,
deutsch-post,,,,,,,,,,,,,,,,
dhl-germany,,,,,,,,,,,,,,,,
hermes-de,,,,,,,,,,,,,,,,
dpd-de,,,,,,,,,,,,,,,,
bpost-international,,,,,,,,,,,,,,,,
bgpost,,,,,,,,,,,,,,,,
postnord,,,,,,,,,,,,,,,,
postnl-international,,,,,,,,,,,,,,,,
postnl-3s,,,,,,,,,,,,,,,,
austrian-post,,,,,,,,,,,,,,,,
swiss-post,,,,,,,,,,,,,,,,
spain-correos-es,,,,,,,,,,,,,,,,
